Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		37666	96400		0.581000	
		37689	96500		0.599000	
		37715	96600		0.616000	
		37742	96700		0.645000	
		37764	96800		0.654000	
		37782	96900		0.728000	
		37804	97000		0.730000	
		37823	97100		0.717000	
		37843	97200		0.722000	
		37867	97300		0.734000	
		37888	97400		0.714000	
		37906	97500		0.680000	
		37933	97600		0.702000	
		37955	97700		0.689000	
		37974	97800		0.661000	
		37991	97900		0.579000	
		38013	98000		0.559000	
		38042	98100		0.570000	
		38055	98200		0.553000	
		38073	98300		0.535000	
		38097	98400		0.552000	
		38116	98500		0.575000	
		38141	98600		0.541000	
		38163	98700		0.550000	
		38180	98800		0.554000	
		38205	98900		0.568000	
		38224	99000		0.569000	
		38261	99100		0.599000	
		38275	99200		0.608000	
		38296	99300		0.615000	
		38311	99400		0.597000	
		38332	99500		0.603000	
		38353	99600		0.601000	
		38383	99700		0.600000	
		38404	99800		0.590000	
		38420	99900		0.594000	
		38445	100000		0.615000	
		38467	100100		0.585000	
		38483	100200		0.577000	
		38502	100300		0.573000	
		38522	100400		0.561000	
		38552	100500		0.585000	
		38573	100600		0.582000	
		38600	100700		0.594000	
		38612	100800		0.567000	
		38630	100900		0.558000	
		38650	101000		0.566000	
		38669	101100		0.556000	
		38691	101200		0.569000	
		38712	101300		0.596000	
		38733	101400		0.609000	
		38749	101500		0.564000	
		38767	101600		0.556000	
		38784	101700		0.536000	
		38806	101800		0.555000	
		38830	101900		0.556000	
		38849	102000		0.526000	
		38866	102100		0.516000	
		38884	102200		0.510000	
		38903	102300		0.486000	
		38926	102400		0.507000	
		38953	102500		0.540000	
		38973	102600		0.547000	
		38990	102700		0.530000	
		39013	102800		0.573000	
		39039	102900		0.596000	
		39067	103000		0.615000	
		39083	103100		0.620000	
		39106	103200		0.628000	
		39125	103300		0.693000	
		39144	103400		0.684000	
		39165	103500		0.666000	
		39186	103600		0.679000	
		39204	103700		0.696000	
		39211	103800		0.630000	
		39231	103900		0.613000	
		39245	104000		0.570000	
		39265	104100		0.579000	
		39283	104200		0.564000	
		39306	104300		0.495000	
		39323	104400		0.495000	
		39346	104500		0.504000	
		39370	104600		0.530000	
		39393	104700		0.539000	
		39418	104800		0.594000	
		39437	104900		0.583000	
		39458	105000		0.615000	
		39476	105100		0.600000	
		39500	105200		0.657000	
		39528	105300		0.669000	
		39553	105400		0.667000	
		39578	105500		0.655000	
		39601	105600		0.623000	
		39624	105700		0.605000	
		39644	105800		0.574000	
		39665	105900		0.580000	
		39682	106000		0.572000	
